;imdb;metascore;movie;votes;year
1570;7.3;79;Precious;94117;(II) (2009)
731;3.3;27;Catwoman;93982;-2004
1240;2.3;17;Epic Movie;93887;-2007
377;6.4;26;Van Wilder: Party Liaison;93747;-2002
1738;5.8;43;The Wolfman;93647;-2010
1241;7.5;38;August Rush;93547;-2007
2408;5.5;39;Pompéi;93480;(I) (2014)
1407;2.7;9;Meet the Spartans;93378;-2008
1571;7.6;77;A Single Man;93360;-2009
1061;6.6;74;Flushed Away;93291;-2006
885;5.2;34;Doom;92932;-2005
2409;5.1;36;Sex Tape;92871;-2014
2264;5.7;37;Only God Forgives;92853;-2013
1408;6.6;57;The Forbidden Kingdom;92686;-2008
1409;7.7;80;Frost/Nixon;92649;-2008
886;6.0;33;The Amityville Horror;92423;-2005
378;6.1;42;Two Weeks Notice;92378;-2002
1242;6.2;35;Hannibal Rising;92346;-2007
1739;5.5;27;Little Fockers;92322;-2010
208;6.9;52;Serendipity;92309;-2001
209;6.1;43;The Mexican;92308;-2001
1572;6.8;71;Max et les Maximonstres;92217;-2009
1410;6.2;35;Mirrors;92210;(I) (2008)
379;8.0;86;Talk to Her;92130;-2002
1062;7.3;91;The Queen;92089;-2006
732;6.6;76;The Manchurian Candidate;92011;-2004
1740;6.3;32;Repo Men;91973;-2010
2410;7.3;57;I Origins;91953;-2014
1063;6.9;53;Alpha Dog;91777;-2006
2265;6.8;63;Out of the Furnace;91669;-2013
2266;6.8;58;Stoker;91646;-2013
210;5.4;71;Spy Kids;91599;-2001
380;6.4;45;The Sum of All Fears;91538;-2002
1064;6.8;55;Tenacious D in The Pick of Destiny;91389;-2006
1065;7.4;41;Running Scared;91302;-2006
211;7.6;73;The Man Who Wasn't There;91243;-2001
2267;6.5;40;Homefront;91235;(I) (2013)
212;6.4;49;Behind Enemy Lines;91136;-2001
733;7.2;73;Super Size Me;91082;-2004
46;6.7;42;The Family Man;91079;-2000
1919;6.2;56;The Rum Diary;91040;-2011
2268;6.7;52;Epic;90946;-2013
1920;5.9;50;Final Destination 5;90724;-2011
551;7.2;62;The Dreamers;90674;-2003
1066;6.7;61;The Good Shepherd;90613;-2006
2081;6.5;55;Safe;90582;(I) (2012)
1411;6.7;50;The Other Boleyn Girl;90336;-2008
1243;6.8;65;Dan in Real Life;90260;-2007
1067;7.3;77;Rescue Dawn;90036;-2006
887;7.0;58;Unleashed;90014;-2005
1921;6.4;64;Fright Night;90004;-2011
888;7.4;72;Brick;89912;-2005
1573;5.2;39;Paul Blart: Mall Cop;89812;-2009
889;6.4;62;The Interpreter;89687;-2005
381;6.2;45;Sweet Home Alabama;89608;-2002
1922;6.4;54;The Iron Lady;89536;-2011
1923;5.5;31;Your Highness;89509;-2011
734;6.2;56;The Ladykillers;89142;-2004
1741;6.2;59;Wall Street: Money Never Sleeps;89050;-2010
2706;6.3;59;The Shallows;89022;-2016
890;6.2;47;Just Friends;88942;(I) (2005)
2553;6.2;55;The Visit;88775;(I) (2015)
47;7.4;67;Frequency;88463;-2000
48;8.1;85;In the Mood for Love;88336;-2000
1924;6.6;75;Attack the Block;88233;-2011
1574;5.5;23;Couples Retreat;88198;-2009
1068;7.6;90;United 93;88163;-2006
2269;6.7;34;Safe Haven;88102;(I) (2013)
1925;6.9;46;Extremely Loud & Incredibly Close;88063;-2011
891;6.7;47;Just Like Heaven;87985;-2005
552;6.2;58;Shanghai Knights;87948;-2003
1742;5.7;53;Paranormal Activity 2;87894;-2010
735;7.8;75;The Motorcycle Diaries;87746;-2004
553;6.7;59;The Rundown;87741;-2003
1926;6.5;76;A Dangerous Method;87526;-2011
2831;7.0;47;The Hitman's Bodyguard;87395;-2017
1244;8.1;33;Elite Squad;87325;-2007
892;7.5;80;Good Night, and Good Luck.;87229;-2005
1245;7.5;61;Reign Over Me;87229;-2007
893;7.2;79;Broken Flowers;87060;-2005
2270;5.3;48;The Counsellor;87028;-2013
1069;5.6;50;Poseidon;87009;-2006
1575;7.0;66;Julie & Julia;86998;-2009
1576;5.5;24;Bride Wars;86966;-2009
2707;7.1;59;Tous en scène;86961;-2016
736;5.9;44;Bridget Jones: The Edge of Reason;86916;-2004
1246;6.5;59;Music and Lyrics;86790;-2007
2708;6.0;42;The Great Wall;86757;(I) (2016)
2411;7.2;44;Love, Rosie;86678;-2014
49;6.0;49;Bedazzled;86597;-2000
1070;6.4;65;Marie Antoinette;86526;-2006
2271;4.3;18;Movie 43;86271;-2013
1927;5.2;36;Conan the Barbarian;86251;-2011
1743;5.2;32;Legion;86226;-2010
1928;7.6;72;Headhunters;86174;-2011
2554;6.6;59;Run All Night;86146;-2015
1247;7.3;84;Before the Devil Knows You're Dead;86145;-2007
1412;5.6;26;Babylon A.D.;86066;-2008
2082;6.1;48;Lockout;86063;-2012
50;8.0;61;Dancer in the Dark;86033;-2000
2412;6.2;41;Ride Along;86024;-2014
2083;6.5;39;The Lucky One;86020;-2012
1413;6.6;39;Never Back Down;86017;-2008
51;5.3;38;Little Nicky;85996;-2000
1744;6.5;44;Faster;85916;-2010
1929;5.4;44;Drive Angry;85890;-2011
2084;7.2;67;Ruby Sparks;85757;-2012
213;5.7;32;Not Another Teen Movie;85482;-2001
2832;7.3;75;The LEGO Batman Movie;85418;-2017
2709;5.7;58;Neighbors 2: Sorority Rising;85332;-2016
2272;7.1;56;Filth;85299;(I) (2013)
2710;7.8;84;Kubo and the Two Strings;85133;-2016
1577;6.0;30;Saw VI;85114;-2009
1745;5.9;56;Dinner for Schmucks;85103;-2010
2711;7.3;48;13 Hours;84899;-2016
52;6.3;40;The Cell;84759;-2000
1248;6.2;54;Vacancy;84662;-2007
2413;6.2;36;That Awkward Moment;84583;-2014
1071;5.6;36;Lady in the Water;84576;-2006
2712;6.0;21;Dirty Grandpa;84552;-2016
1746;6.1;52;The Switch;84505;(I) (2010)
2273;5.9;44;Jobs;83878;-2013
2085;6.4;46;The Lorax;83793;-2012
2713;6.6;58;Nerve;83788;(I) (2016)
214;6.8;65;Ali;83738;-2001
1747;6.5;56;Hereafter;83696;-2010
2555;7.2;95;Carol;83686;-2015
1578;7.9;90;A Prophet;83671;-2009
1579;5.8;66;Splice;83650;-2009
1748;6.3;61;The American;83438;-2010
1580;6.5;52;The International;83419;(I) (2009)
2086;6.2;62;The Five-Year Engagement;83387;-2012
2414;7.3;64;St. Vincent;83377;-2014
215;8.2;84;Lagaan;83372;-2001
216;7.8;60;The Experiment;83356;-2001
2274;7.6;77;Philomena;83306;-2013
2714;6.3;58;Lights Out;83284;(II) (2016)
737;6.5;60;Cellular;83215;-2004
894;6.2;71;Land of the Dead - Le territoire des morts;83098;-2005
1414;6.4;52;Be Kind Rewind;83074;-2008
2275;7.8;49;The Best Offer;83017;-2013
1581;6.6;65;I Love You Phillip Morris;82998;-2009
1930;6.1;49;30 minutes maximum;82919;-2011
1749;7.8;67;I Saw the Devil;82706;-2010
1072;7.6;84;Volver;82565;(I) (2006)
738;6.9;68;Primer;82378;-2004
2556;6.6;42;Burnt;82207;(I) (2015)
217;5.9;25;The One;82118;-2001
1582;5.2;30;The Final Destination;82116;-2009
2276;6.5;54;Bad Grandpa;82065;-2013
1073;7.5;69;Le voile des illusions;82056;-2006
1415;5.9;47;The X Files: I Want to Believe;82032;-2008
1750;8.0;50;My Name Is Khan;82031;-2010
218;6.8;52;Atlantis: The Lost Empire;81937;-2001
2087;7.0;74;Frankenweenie;81936;-2012
895;6.0;41;Sahara;81915;-2005
554;8.1;82;Memories of Murder;81828;-2003
1583;5.6;34;Friday the 13th;81826;-2009
2557;6.7;66;The Good Dinosaur;81789;-2015
1931;6.4;45;Colombiana;81707;-2011
1584;6.8;55;A Christmas Carol;81704;-2009
555;5.5;48;The Core;81687;-2003
1932;5.8;59;Paranormal Activity 3;81429;-2011
219;7.1;48;Super Troopers;81407;-2001
896;6.9;53;The Devil's Rejects;81375;-2005
556;6.3;71;Intolerable Cruelty;81225;-2003
557;5.8;46;Cheaper by the Dozen;81156;-2003
558;7.1;61;Runaway Jury;81093;-2003
382;5.5;28;Ghost Ship;81081;-2002
1585;5.6;47;The Box;80903;(I) (2009)
1933;6.0;38;The Rite;80873;-2011
383;7.1;60;Treasure Planet;80831;-2002
1934;5.4;28;Season of the Witch;80804;-2011
1586;4.9;34;Year One;80701;-2009
1751;6.4;63;Monsters;80694;-2010
1074;6.6;68;Monster House;80618;-2006
559;5.5;35;Dreamcatcher;80615;-2003
1752;5.2;35;A Nightmare on Elm Street;80603;-2010
2088;7.0;72;ParaNorman;80486;-2012
1935;7.3;62;The Best Exotic Marigold Hotel;80485;-2011
1587;7.4;51;My Sister's Keeper;80466;-2009
2715;6.2;60;Bad Moms;80464;-2016
1753;6.6;50;Letters to Juliet;80422;-2010
1754;6.6;55;Edge of Darkness;80302;-2010
2833;5.2;28;Transformers: The Last Knight;80089;-2017
2558;6.7;55;Home;79970;(II) (2015)
384;5.5;29;The Hot Chick;79930;-2002
2716;5.4;25;Gods of Egypt;79926;-2016
897;6.8;30;Waiting...;79801;(I) (2005)
2834;5.6;37;Baywatch;79722;-2017
1936;7.0;66;Another Earth;79715;-2011
1755;7.6;67;Ip Man 2;79621;-2010
898;6.5;25;Revolver;79485;-2005
1756;7.2;81;Beginners;79388;-2010
1416;6.7;64;Nick and Norah's Infinite Playlist;79385;-2008
1588;7.2;66;The Girl Who Played with Fire;79380;-2009
2415;6.2;47;Night at the Museum: Secret of the Tomb;79378;-2014
1075;6.9;53;The Guardian;79360;(I) (2006)
899;5.4;44;The Ring Two;79320;-2005
1757;4.4;26;Skyline;79236;-2010
1758;6.4;44;The Losers;78923;(I) (2010)
1937;7.1;75;The Muppets;78751;-2011
385;5.0;35;Scooby-Doo;78650;-2002
2717;5.7;33;Allegiant;78504;-2016
1417;1.9;15;Disaster Movie;78498;-2008
900;5.9;47;The Legend of Zorro;78466;-2005
1759;5.6;31;Cop Out;78434;-2010
1760;6.5;33;Leap Year;78377;-2010
2559;6.1;34;Vacation;78365;(I) (2015)
560;6.8;48;Frère des ours;78320;-2003
2089;6.4;40;Here Comes the Boom;78236;-2012
2835;7.1;44;Kingsman: The Golden Circle;78146;-2017
1938;6.4;60;Our Idiot Brother;78068;-2011
2090;7.9;94;Amour;77950;-2012
1249;5.6;19;Good Luck Chuck;77898;-2007
2091;6.6;63;Anna Karenina;77814;(I) (2012)
2718;5.2;33;The 5th Wave;77811;-2016
2560;6.3;56;Paper Towns;77781;-2015
1589;7.2;55;Harry Brown;77678;-2009
1761;5.4;21;Killers;77385;-2010
2719;7.5;72;Dernier train pour Busan;77365;-2016
1076;7.0;85;The Host;77332;-2006
1418;6.1;33;Bedtime Stories;77182;-2008
1762;5.5;53;Piranha 3D;76967;-2010
1250;6.3;36;War;76932;-2007
1077;6.9;47;A Good Year;76878;-2006
1419;6.0;36;Righteous Kill;76861;-2008
1251;6.5;44;Funny Games;76800;-2007
1939;7.4;85;Take Shelter;76784;-2011
2092;6.4;44;The Raven;76693;(I) (2012)
2093;5.6;31;That's My Boy;76578;-2012
1078;7.2;54;Cashback;76476;-2006
1252;8.1;90;Persepolis;76440;-2007
901;4.8;34;Elektra;76415;-2005
1253;5.8;46;The Heartbreak Kid;76352;-2007
1420;6.5;49;Sex Drive;76307;-2008
2561;6.0;34;The Last Witch Hunter;76108;-2015
1254;6.9;59;We Own the Night;76050;-2007
1079;7.2;85;Half Nelson;76022;-2006
1940;6.8;64;Goon;75991;-2011
53;7.3;62;Finding Forrester;75965;-2000
2562;6.1;42;Daddy's Home;75965;-2015
1763;5.6;24;Saw 3D: The Final Chapter;75887;-2010
1941;5.8;67;Piégée;75760;-2011
1942;7.0;65;My Week with Marilyn;75729;-2011
220;6.4;49;Final Fantasy: The Spirits Within;75705;-2001
739;6.1;64;Sky Captain and the World of Tomorrow;75703;-2004
2416;6.2;40;3 Days to Kill;75691;-2014
561;7.2;70;Elephant;75569;-2003
1255;5.5;46;Hostel: Part II;75359;-2007
221;6.7;27;Sweet November;75333;-2001
2094;5.6;46;Mirror Mirror;75118;(I) (2012)
386;7.1;67;Confessions of a Dangerous Mind;75110;-2002
54;6.0;52;Bring It On;75098;-2000
902;6.7;69;The New World;75059;-2005
1764;7.5;58;Biutiful;75056;-2010
222;7.1;69;Monster's Ball;75034;-2001
1421;6.6;62;The Spiderwick Chronicles;75014;-2008
903;6.1;67;Zathura: A Space Adventure;74965;-2005
2563;6.7;44;Hotel Transylvania 2;74934;-2015
1943;1.6;52;Justin Bieber: Never Say Never;74710;-2011
1590;6.6;57;It's Complicated;74652;-2009
2417;6.7;76;The Guest;74627;(I) (2014)
2095;6.3;54;To Rome with Love;74386;-2012
2096;5.8;41;Journey 2: The Mysterious Island;74378;-2012
904;5.9;35;Hide and Seek;74374;-2005
2720;6.5;55;Money Monster;74252;-2016
2097;7.3;86;Beasts of the Southern Wild;74226;-2012
2277;6.2;52;Beautiful Creatures;74123;-2013
740;5.8;49;Around the World in 80 Days;74089;-2004
2278;7.2;58;August: Osage County;73958;-2013
2564;5.7;28;Hitman: Agent 47;73926;-2015
387;5.9;37;Analyze That;73863;-2002
1256;6.2;34;Dead Silence;73805;-2007
1765;7.3;76;Submarine;73805;-2010
1257;6.9;61;Meet the Robinsons;73758;-2007
1591;7.3;83;Crazy Heart;73755;-2009
1080;4.4;18;Ultraviolet;73684;-2006
1592;6.6;42;The Last House on the Left;73664;-2009
1944;6.0;53;Mr. Popper's Penguins;73639;-2011
905;5.6;30;Baby-sittor;73518;-2005
2279;7.2;65;Coherence;73493;-2013
388;5.1;45;Maid in Manhattan;73452;-2002
1081;7.5;75;An Inconvenient Truth;73422;-2006
2836;6.8;63;Atomic Blonde;73369;-2017
2280;5.6;66;The Bling Ring;73298;-2013
2721;6.1;35;The Huntsman: Winter's War;73211;-2016
2098;7.3;49;Stuck in Love;73192;-2012
2418;6.7;81;Inherent Vice;72976;-2014
562;6.8;70;Thirteen;72569;-2003
389;7.0;63;Secretary;72550;-2002
55;7.5;54;Malena;72435;-2000
1593;5.8;34;Ghosts of Girlfriends Past;72416;-2009
1945;5.5;30;The Smurfs;72390;-2011
2722;7.0;64;Swiss Army Man;72370;-2016
390;6.6;42;Jackass: The Movie;72354;-2002
2281;6.4;59;Cloudy with a Chance of Meatballs 2;72325;-2013
1082;6.7;48;Scoop;72255;-2006
1422;6.2;50;Step Up 2: The Streets;72205;-2008
906;6.6;61;The Weather Man;72022;-2005
1258;7.6;66;La Vie en Rose;71982;-2007
2282;7.3;79;Only Lovers Left Alive;71975;-2013
1083;6.2;49;Open Season;71825;-2006
1084;5.6;46;You, Me and Dupree;71778;-2006
2283;7.5;62;42;71720;-2013
1085;5.8;41;John Tucker Must Die;71711;-2006
56;5.1;33;Big Momma's House;71635;-2000
2565;6.5;34;Self/less;71561;-2015
1946;6.5;66;You're Next;71549;-2011
1259;7.6;61;The Kite Runner;71434;-2007
2566;7.0;79;Green Room;71361;-2015
391;6.2;65;Solaris;71280;-2002
1947;5.7;22;New Year's Eve;71234;-2011
2419;5.1;30;I, Frankenstein;71169;-2014
1766;8.1;71;Elite Squad: The Enemy Within;71147;-2010
1086;6.0;66;World Trade Center;71017;-2006
741;6.7;54;Hidalgo;70939;-2004
907;5.8;48;Chicken Little;70921;-2005
1087;7.0;33;Grandma's Boy;70894;-2006
2837;6.1;44;Power Rangers;70845;-2017
1423;5.8;47;Semi-Pro;70733;-2008
1088;5.6;38;The Pink Panther;70587;-2006
1767;5.7;50;Eat Pray Love;70484;-2010
2567;7.3;72;Dope;70426;-2015
2420;7.5;89;Selma;70410;-2014
1089;5.7;52;Super Nacho;70230;-2006
2284;6.5;51;Snitch;70110;(I) (2013)
1768;7.0;53;Legend of the Guardians: The Owls of Ga'Hoole;70090;-2010
1948;7.3;78;L'Irlandais;70038;-2011
2723;6.2;39;Why Him?;69727;-2016
1769;6.4;62;Centurion;69699;-2010
223;5.6;30;Thir13en Ghosts;69679;-2001
742;6.4;48;Spanglish;69612;-2004
743;6.2;38;Taking Lives;69611;-2004
1949;7.4;76;Jane Eyre;69606;-2011
1424;7.5;58;Felon;69528;-2008
1260;8.0;74;Sicko;69504;-2007
224;6.4;44;Kate & Leopold;69482;-2001
2838;7.3;67;T2 Trainspotting;69445;-2017
2285;6.7;60;Nymphomaniac - Volume 2;69358;-2013
908;5.1;33;The Dukes of Hazzard;69302;-2005
744;5.9;25;A Cinderella Story;69102;-2004
225;7.3;90;Gosford Park;69040;-2001
57;6.6;62;U-571;69025;-2000
1261;5.9;17;88 Minutes;68945;-2007
2839;6.6;51;Valerian and the City of a Thousand Planets;68927;-2017
745;8.0;74;The Sea Inside;68896;(I) (2004)
1425;5.5;55;The House Bunny;68890;-2008
2724;6.2;44;The Brothers Grimsby;68700;-2016
1950;5.1;25;Abduction;68669;(I) (2011)
2568;6.1;52;Insidious: Chapitre 3;68652;-2015
1951;5.6;40;Beastly;68650;-2011
1952;6.8;44;The Inbetweeners Movie;68562;-2011
2569;6.1;50;American Ultra;68561;-2015
58;2.4;9;Battlefield Earth;68469;-2000
1953;6.3;71;Young Adult;68445;-2011
909;6.3;54;Assaut sur le central 13;68384;-2005
392;6.7;63;Unfaithful;68287;-2002
1262;5.9;45;The Invasion;68199;(I) (2007)
2286;6.5;58;Turbo;68178;-2013
1770;7.7;45;Flipped;68067;(I) (2010)
2287;6.2;49;Broken City;68025;-2013
1594;6.5;63;Youth in Revolt;68011;-2009
2421;7.0;62;Big Eyes;67959;(I) (2014)
2725;7.2;66;The Founder;67829;-2016
1595;6.7;69;Bad Lieutenant: Port of Call New Orleans;67814;-2009
2288;7.2;61;The Kings of Summer;67801;-2013
393;5.3;30;The Tuxedo;67701;-2002
1090;7.4;73;Notes on a Scandal;67660;-2006
394;7.4;61;Frida;67542;-2002
395;6.5;52;The Mothman Prophecies;67466;-2002
1596;6.4;43;The Uninvited;67299;-2009
563;8.1;85;Spring, Summer, Fall, Winter... and Spring;67185;-2003
1597;5.9;38;Confessions of a Shopaholic;67017;-2009
1426;6.9;62;The Duchess;66987;-2008
910;6.2;62;Sky High;66902;-2005
2570;6.6;38;Entourage;66866;-2015
911;5.8;45;Into the Blue;66860;-2005
2422;6.7;53;Penguins of Madagascar;66859;-2014
1771;5.9;33;The Last Song;66806;-2010
59;6.9;51;The Road to El Dorado;66676;-2000
1598;5.9;34;The Fourth Kind;66655;-2009
1263;6.5;33;Awake;66638;-2007
1427;6.3;40;Outlander;66490;-2008
564;6.4;45;Mona Lisa Smile;66384;-2003
2099;7.6;64;Disconnect;66341;(I) (2012)
226;5.2;33;Un mariage trop parfait;66307;-2001
2726;6.0;40;Teenage Mutant Ninja Turtles: Out of the Shadows;66269;-2016
2571;6.7;51;Hardcore Henry;66249;-2015
227;7.3;64;Frailty;66207;-2001
396;5.6;56;Cabin Fever;66165;-2002
1772;6.4;47;Burlesque;66072;(I) (2010)
1773;6.8;50;Super;66060;(I) (2010)
912;6.9;41;Stay;65961;(I) (2005)
1091;7.7;70;Fearless;65922;-2006
1599;6.2;25;Case 39;65919;-2009
1092;6.5;69;Horribilis;65903;-2006
2100;5.9;47;Rock of Ages;65870;-2012
2727;7.2;79;Fences;65852;-2016
2572;7.1;55;Concussion;65838;-2015
2573;6.4;47;Project Almanac;65833;-2015
1093;5.6;49;Le dahlia noir;65816;-2006
2101;5.4;31;Red Dawn;65795;-2012
1428;6.0;51;Doomsday;65768;-2008
2574;7.0;49;Demolition;65723;-2015
1264;5.9;29;Premonition;65709;(I) (2007)
2102;5.6;53;Wanderlust;65685;-2012
2289;6.4;44;Delivery Man;65630;-2013
746;7.7;76;A Very Long Engagement;65612;-2004
1094;7.3;66;Paris, je t'aime;65581;-2006
747;5.0;27;Garfield;65515;-2004
1954;3.4;23;Jack and Jill;65512;(I) (2011)
913;6.6;40;Derailed;65381;(I) (2005)
2103;7.1;37;The Words;65299;-2012
914;7.4;82;The Squid and the Whale;65259;-2005
2290;8.0;82;Short Term 12;65248;-2013
2728;7.2;79;Silence;65217;(I) (2016)
565;6.0;31;House of 1000 Corpses;65182;-2003
2291;5.9;34;21 & Over;65154;-2013
2423;6.3;49;Rio 2;65108;-2014
397;5.5;33;Collateral Damage;65064;-2002
1265;6.7;43;Hot Rod;65041;-2007
2292;6.9;87;All Is Lost;65039;-2013
2729;6.2;34;Alice Through the Looking Glass;64777;-2016
398;5.6;53;40 Days and 40 Nights;64702;-2002
748;7.0;66;The SpongeBob SquarePants Movie;64682;-2004
2293;5.6;41;Machete Kills;64658;-2013
2730;6.1;51;How to Be Single;64609;-2016
2731;7.9;81;Hunt for the Wilderpeople;64557;-2016
2104;6.8;55;Hitchcock;64520;-2012
1429;5.7;29;Fool's Gold;64473;(I) (2008)
2294;7.8;86;The Great Beauty;64423;-2013
1095;7.8;71;Black Book;64416;-2006
566;7.0;72;Girl with a Pearl Earring;64360;-2003
1430;7.5;67;Synecdoche, New York;64217;-2008
567;7.2;69;Ong-Bak: The Thai Warrior;64204;-2003
1774;4.4;27;Sex and the City 2;64154;-2010
2840;7.8;73;Wind River;64143;-2017
60;6.4;73;Space Cowboys;64120;-2000
1431;6.8;65;Eden Lake;64100;-2008
2295;5.9;44;The Incredible Burt Wonderstone;64049;-2013
2296;6.5;46;Horns;63983;-2013
61;5.6;34;Mission to Mars;63884;-2000
1432;6.9;61;Sunshine Cleaning;63868;-2008
1096;7.3;70;The Science of Sleep;63849;-2006
1955;6.1;35;What's Your Number?;63836;-2011
568;7.1;71;Holes;63801;-2003
1956;6.7;62;Killer Joe;63715;-2011
1957;7.7;52;Detachment;63674;-2011
2841;5.7;34;The Dark Tower;63599;-2017
1433;6.5;35;How to Lose Friends & Alienate People;63569;-2008
2424;7.0;75;Frank;63569;(II) (2014)
1600;7.2;45;Whatever Works;63530;-2009
1958;7.2;56;God Bless America;63505;-2011
1266;6.8;36;Death Sentence;63359;-2007
1434;6.7;72;Ghost Town;63331;(I) (2008)
228;6.3;42;Along Came a Spider;63300;-2001
1959;5.7;39;The Sitter;63153;-2011
2425;6.8;73;A Most Wanted Man;63139;-2014
1267;7.2;65;In the Valley of Elah;63118;-2007
2732;7.4;77;The Edge of Seventeen;63098;-2016
399;6.4;51;Star Trek: Nemesis;63020;-2002
2842;5.2;42;xXx: Reactivated;63017;-2017
1435;5.9;44;The Ruins;62913;-2008
1775;6.5;57;Morning Glory;62908;-2010
2105;6.4;45;Upside Down;62860;(I) (2012)
2733;6.0;51;Mike and Dave Need Wedding Dates;62842;-2016
2575;7.3;73;Eye in the Sky;62829;-2015
1268;6.3;50;No Reservations;62787;-2007
1097;5.6;47;Failure to Launch;62714;-2006
1269;5.2;39;Alvin and the Chipmunks;62698;-2007
1436;6.6;45;Blindness;62677;-2008
2106;5.6;31;La maison au bout de la rue;62638;-2012
1601;4.4;33;The Human Centipede (First Sequence);62632;-2009
229;7.3;68;Shaolin Soccer;62628;-2001
2734;8.5;79;Your Name;62618;-2016
1602;6.1;48;Solomon Kane;62564;-2009
1776;6.3;27;I Spit on Your Grave;62375;-2010
2297;6.3;50;Dark Skies;62330;-2013
2576;6.8;38;No Escape;62117;(I) (2015)
2577;7.1;33;The Longest Ride;62106;-2015
2735;6.0;55;The Purge: Election Year;62066;-2016
915;5.7;37;Be Cool;62053;-2005
2426;7.3;55;The Hundred-Foot Journey;61986;-2014
2736;7.4;54;Eddie the Eagle;61982;-2016
2427;5.5;30;Seventh Son;61915;(I) (2014)
62;5.9;50;Shaft;61902;-2000
916;4.8;34;Bewitched;61810;-2005
1777;7.3;68;Four Lions;61726;-2010
2107;5.7;41;What to Expect When You're Expecting;61591;-2012
2578;7.5;60;Trumbo;61532;-2015
2579;6.5;56;The DUFF;61518;-2015
1437;6.0;53;Quarantine;61514;-2008
1438;6.0;37;Speed Racer;61405;-2008
917;6.4;45;Elizabethtown;61400;-2005
918;6.6;48;A Lot Like Love;61385;-2005
2428;7.1;50;La promesse d'une vie;61382;-2014
1603;2.6;45;Dragonball: Evolution;61380;-2009
1778;8.3;88;Inside Job;61369;-2010
1604;6.4;34;Ninja Assassin;61331;-2009
2580;6.7;35;The Wedding Ringer;61269;-2015
2843;6.4;50;The Boss Baby;61265;-2017
569;7.7;81;The Station Agent;61264;-2003
1270;6.6;48;Run, Fatboy, Run;61125;-2007
2737;8.0;79;Sing Street;61101;-2016
2581;6.3;60;Goosebumps;61073;-2015
2738;5.6;49;Resident Evil: The Final Chapter;61032;-2016
2108;6.5;40;Act of Valor;60973;-2012
1605;6.3;48;Chloe;60884;-2009
570;5.4;28;Just Married;60883;-2003
400;6.5;69;Changing Lanes;60754;-2002
2109;6.9;60;The Iceman;60698;-2012
230;6.9;43;The Last Castle;60660;-2001
2739;6.3;43;The Angry Birds Movie;60580;-2016
1098;6.5;76;Dreamgirls;60524;-2006
1779;7.6;80;The Secret World of Arrietty;60473;-2010
2298;7.5;85;Fruitvale Station;60443;-2013
1099;5.9;30;The Texas Chainsaw Massacre: The Beginning;60422;-2006
749;5.7;43;The Princess Diaries 2: Royal Engagement;60414;-2004
2429;6.6;44;This Is Where I Leave You;60337;-2014
571;7.3;72;Seabiscuit;60222;-2003
919;6.0;36;Domino;60181;-2005
63;6.1;52;Romeo Must Die;60141;-2000
1606;6.5;63;A Perfect Getaway;59989;-2009
750;7.7;73;Mysterious Skin;59988;-2004
572;7.7;45;Love Me If You Dare;59847;-2003
1607;6.6;52;[Rec] 2;59844;-2009
920;6.3;54;Wolf Creek;59788;-2005
751;5.8;43;The Forgotten;59761;-2004
2740;6.8;23;Collateral Beauty;59742;-2016
231;6.5;60;Bandits;59739;-2001
1100;7.1;66;Jackass Number Two;59702;-2006
2844;4.6;33;Fifty Shades Darker;59679;-2017
2741;6.7;76;Midnight Special;59599;-2016
921;7.3;83;Caché;59488;-2005
752;7.2;70;District B13;59403;-2004
1780;7.0;61;Trollhunter;59297;-2010
2430;6.2;40;Deliver Us from Evil;59297;(I) (2014)
922;7.6;75;Lady Vengeance;59270;-2005
923;4.4;37;xXx: State of the Union;59256;-2005
401;6.0;51;Windtalkers;59207;-2002
573;7.6;71;House of Sand and Fog;59113;-2003
574;6.8;42;High Tension;59030;-2003
1439;5.9;37;Made of Honor;58823;-2008
1271;7.0;54;Charlie Bartlett;58768;-2007
1960;6.3;61;A Very Harold & Kumar 3D Christmas;58768;-2011
753;6.7;55;I Heart Huckabees;58726;-2004
2299;6.5;68;Europa Report;58634;-2013
1272;8.3;68;Chak de! India;58616;-2007
2742;6.2;51;The Neon Demon;58572;-2016
1273;6.8;63;Walk Hard: The Dewey Cox Story;58477;-2007
1274;6.9;45;Elizabeth: The Golden Age;58440;-2007
2582;4.9;53;Knock Knock;58403;(I) (2015)
1608;6.9;68;Whip It;58391;-2009
1781;6.9;65;The Debt;58341;(I) (2010)
2300;6.5;39;Dead Man Down;58276;-2013
1275;6.7;64;Surf's Up;58263;-2007
1609;7.8;82;The White Ribbon;58242;-2009
2301;6.8;59;What If;58200;(I) (2013)
2431;7.2;77;Paddington;58194;-2014
2432;6.2;38;As Above, So Below;58161;-2014
1610;6.3;61;Dead Snow;58070;-2009
1961;6.5;60;Jeff, Who Lives at Home;58060;-2011
575;7.5;67;Open Range;57820;-2003
2743;6.4;66;The BFG;57787;-2016
576;6.9;64;Peter Pan;57754;-2003
1782;6.2;43;Frozen;57751;(I) (2010)
2433;5.8;44;Into the Storm;57742;-2014
1611;7.3;60;The Girl Who Kicked the Hornet's Nest;57712;-2009
1962;6.2;55;The Eagle;57600;-2011
754;6.2;44;Walking Tall;57538;-2004
924;6.9;56;Harsh Times;57484;-2005
755;6.2;43;Jersey Girl;57460;-2004
1276;7.5;64;Écrire pour exister;57356;-2007
1612;7.2;55;Agora;57317;-2009
1101;6.3;46;Beerfest;57259;-2006
