;imdb;metascore;movie;votes;year
1676;7.7;65;Harry Potter and the Deathly Hallows: Part 1;373060;-2010
1009;8.0;64;The Pursuit of Happyness;373058;-2006
505;8.0;58;Big Fish;371433;-2003
2189;6.6;61;Elysium;369814;(I) (2013)
1341;5.2;56;Twilight;368691;(I) (2008)
1850;8.2;71;Warrior;368522;-2011
2505;7.8;68;The Hateful Eight;368515;-2015
2190;6.7;60;The Wolverine;367932;-2013
1851;7.5;48;Sherlock Holmes: A Game of Shadows;367875;-2011
2345;6.4;61;Lucy;367248;(I) (2014)
2346;7.3;72;American Sniper;366784;-2014
1512;7.5;78;Harry Potter and the Half-Blood Prince;366650;-2009
2191;8.0;84;Dallas Buyers Club;366321;-2013
506;8.0;84;Mystic River;364129;-2003
2657;7.5;72;Doctor Strange;363547;-2016
2347;7.3;68;John Wick;362301;-2014
1342;7.6;94;The Hurt Locker;362241;-2008
2348;7.7;78;Ex Machina;362048;-2014
1343;6.2;65;Indiana Jones and the Kingdom of the Crystal Skull;361409;-2008
335;7.6;60;Ice Age;361071;-2002
2349;7.6;79;Dawn of the Planet of the Apes;360684;-2014
834;6.5;73;War of the Worlds;360539;-2005
1852;7.8;71;The Girl with the Dragon Tattoo;359531;-2011
675;6.4;47;The Day After Tomorrow;359468;-2004
2192;7.8;83;Captain Phillips;357688;-2013
1344;6.6;58;Quantum of Solace;355987;-2008
2350;6.7;53;The Amazing Spider-Man 2;355349;-2014
1853;8.1;62;The Help;354507;-2011
835;6.7;72;Charlie and the Chocolate Factory;354407;-2005
1181;7.2;69;Live Free or Die Hard;354000;-2007
2193;8.1;75;Rush;353990;(I) (2013)
1345;6.8;61;The Incredible Hulk;353956;-2008
2351;7.9;76;Nightcrawler;352712;-2014
507;7.7;55;Love Actually;348836;-2003
2352;6.8;57;The Maze Runner;348543;-2014
508;7.8;89;Lost in Translation;348158;-2003
1182;7.7;78;Zodiac;348131;-2007
1010;6.6;46;The Da Vinci Code;347638;-2006
1854;6.3;42;Transformers: Dark of the Moon;347609;-2011
2194;7.5;68;The Conjuring;347474;-2013
676;7.2;75;Shrek 2;345707;-2004
1513;6.0;35;Transformers: Revenge of the Fallen;345607;-2009
2353;6.7;64;The Hunger Games: Mockingjay - Part 1;345401;-2014
2354;7.6;64;Fury;345254;-2014
2195;7.0;44;We're the Millers;345131;-2013
1183;7.8;76;American Gangster;344934;-2007
336;7.5;72;Gangs of New York;343344;-2002
836;7.2;81;King Kong;342951;-2005
509;7.7;55;The Last Samurai;342916;-2003
1346;7.6;73;Kung Fu Panda;342643;-2008
2196;6.6;67;This Is the End;337233;-2013
837;7.1;73;The 40-Year-Old Virgin;336692;-2005
677;7.3;55;The Terminal;334080;-2004
1677;6.5;53;Alice in Wonderland;333966;(I) (2010)
170;7.7;69;Training Day;331227;-2001
2811;7.6;76;Wonder Woman;331194;-2017
1347;7.9;67;In Bruges;330874;-2008
1855;7.7;81;Midnight in Paris;330734;-2011
1348;7.0;71;Tropic Thunder;329868;-2008
1678;7.8;71;Tangled;328850;-2010
510;6.3;66;Terminator 3: Rise of the Machines;328154;-2003
678;7.7;46;Saw;327858;-2004
2197;7.1;61;Fast & Furious 6;327041;-2013
1856;6.7;53;In Time;326695;-2011
2355;6.4;62;Godzilla;325681;-2014
2658;8.1;93;La La Land;324367;(I) (2016)
2356;7.8;74;Big Hero 6;324332;-2014
2659;8.0;78;Zootopia;323526;-2016
337;7.6;73;28 Days Later...;322757;-2002
1349;7.0;64;Cloverfield;322108;-2008
511;6.7;46;Bruce Almighty;322027;-2003
2506;6.8;60;Spectre;321988;(I) (2015)
1350;6.7;64;Wanted;319651;-2008
1011;7.6;68;The Illusionist;318679;-2006
2198;7.4;62;Despicable Me 2;316706;-2013
171;7.7;74;Black Hawk Down;316266;-2001
1184;7.0;85;Knocked Up;315269;-2007
1012;7.3;89;Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan;314660;-2006
2357;7.7;72;The Theory of Everything;314506;-2014
679;7.6;71;Collateral;314203;-2004
838;6.9;75;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;313308;-2005
2507;7.2;67;Furious 7;312453;-2015
1013;6.8;62;The Devil Wears Prada;310806;-2006
1857;7.3;66;Fast Five;309413;-2011
680;6.5;58;Ocean's Twelve;307864;-2004
2022;7.0;72;The Cabin in the Woods;307726;-2012
2023;7.5;55;Cloud Atlas;307133;-2012
681;7.7;61;The Machinist;306988;-2004
1514;5.8;49;2012;306022;(I) (2009)
1858;7.0;72;Super 8;305322;-2011
2024;7.2;69;Brave;305047;-2012
1679;7.5;69;Scott Pilgrim vs. the World;304773;-2010
512;7.0;68;The Italian Job;304573;-2003
1859;7.6;87;Moneyball;304369;-2011
1680;7.1;72;Easy A;304292;-2010
1185;7.4;83;Sweeney Todd: The Demon Barber of Fleet Street;303866;-2007
1515;6.6;49;Terminator Salvation;303674;-2009
2660;7.0;52;X-Men: Apocalypse;302088;-2016
1681;7.6;82;127 Hours;301846;-2010
1682;7.6;74;The Town;301702;-2010
2025;7.7;72;Wreck-It Ralph;301010;-2012
172;6.7;58;The Fast and the Furious;297994;-2001
839;6.9;57;Madagascar;297347;-2005
840;7.0;64;Wedding Crashers;297011;-2005
1683;7.8;79;The Fighter;296918;(I) (2010)
2812;7.8;67;Guardians of the Galaxy Vol. 2;296646;-2017
2358;7.9;100;Boyhood;295359;(I) (2014)
1860;6.6;63;Friends with Benefits;294918;-2011
1014;7.1;73;Cars;294894;-2006
2508;8.1;93;Spotlight;294472;(I) (2015)
338;6.7;59;Signs;294332;-2002
173;7.6;74;Les autres;293366;-2001
1015;7.6;76;Inside Man;292564;-2006
2359;7.1;71;22 Jump Street;291949;-2014
1351;6.8;46;Yes Man;291199;-2008
1684;6.5;45;The Expendables;290370;-2010
1016;8.5;89;The Lives of Others;288936;-2006
682;8.1;79;Hotel Rwanda;288793;-2004
1685;6.6;51;Due Date;288452;-2010
683;7.2;63;Anchorman: The Legend of Ron Burgundy;288175;-2004
1861;7.7;72;50/50;287093;-2011
684;7.7;47;Man on Fire;287006;-2004
685;7.5;77;Aviator;286460;-2004
